RWY Classification	Precision Approach Category II or III Code No 4E
Surface	Col_10_Dimension
CONICAL	
Slope_%	5
Height_m	100
INNER_HORIZONTAL	
Height_m	45
Radius_m	4000
INNER_APPROACH	
Width_m	120
Distance_from_threshold_m	60
Length_m	900
Slope_%	2
APPROACH	
Length_of_inner_edge_m	280
Distance_from_threshold_m	60
Divergence_%	15
First_Section	
Length_m	3000
Slope_%	2
Second_Section	
Length_m	3600
Slope_%	2.5
Horizontal_Section	
Length_m	8400
Total_Length_m	15000
TRANSITIONAL	
Slope_%	14.3
INNER_TRANSITIONAL	
Slope_%	33.3
BALKED_LANDING	
Length_of_inner_edge_m	120
Distance_from_threshold_m	1800
Divergence_%	10
Slope_%	3.33
TAKE_OF_CLIMB_SURFACE	
Length_of_inner_edge_m	180
Distance_from_RWY_End_m	60
Divergence_%	12.5
Final_Width_m	1800
Length_m	15000
Slope_%	2
